specID,ra,dec,redshift,uMINUSr,gMINUSr
2523242641370408960,12h58m32.28s,+28d22m40.69s,0.01961964,1.73,0.38
2522154119053993984,12h58m38.15s,+27d49m21.29s,0.01798755,1.69,0.38
2522156592955156480,12h58m42.58s,+27d45m37.78s,0.02930276569,1.54,0.25
2522148621495855104,12h57m45.30s,+27d54m21.51s,0.02702302,1.67,0.42
2524361669061142528,13h00m29.20s,+27d19m59.57s,0.02859164635,1.96,0.34
2264287300823312384,12h56m24.46s,+29d48m17.76s,0.02591585,2.16,0.55
2523314384504121344,13h05m03.30s,+27d32m13.39s,0.02170492,2.01,0.57
2264243320358201344,12h57m45.67s,+29d07m48.00s,0.02491663,2.10,0.52
2524364142962305024,13h01m10.73s,+27d14m47.39s,0.02061296,2.26,0.67
2264290049602381824,12h58m23.24s,+30d08m34.46s,0.02582387,2.05,0.63
2523148908004141056,13h05m23.68s,+27d06m05.86s,0.02409993,1.97,0.57
2523304763777378304,13h00m45.20s,+27d44m49.26s,0.03112869,2.02,0.51
2522140375158646784,12h56m38.40s,+28d06m22.58s,0.02160236,2.26,0.67
2523233020643665920,12h57m12.70s,+28d08m01.15s,0.02324305,2.14,0.64
2523206082608785408,12h56m01.92s,+27d39m52.77s,0.02067146,2.03,0.53
2519805018870147072,12h49m22.37s,+26d44m38.04s,0.02403958,2.16,0.63
2522145048083064832,12h57m04.90s,+27d40m38.55s,0.02608517,2.36,0.67
2522071105926096896,12h53m53.76s,+26d41m02.57s,0.01787226,2.01,0.68
2264243870114015232,12h58m06.84s,+29d02m04.37s,0.02424348,2.11,0.56
2523226698451806208,12h53m31.10s,+27d27m48.08s,0.02850486,2.10,0.71
2522060935443539968,12h56m23.75s,+27d14m02.33s,0.02018797,2.42,0.65
2519917169056180224,12h50m11.10s,+27d22m11.37s,0.02580203,2.42,0.69
2261960191257896960,13h10m46.62s,+28d38m31.87s,0.02608265,2.08,0.64
2524358370526259200,13h01m33.84s,+27d54m39.96s,0.02189211,2.09,0.63
2264193292579137536,13h05m17.55s,+28d34m57.87s,0.02621189,1.97,0.70
2519773407910848512,12h51m51.57s,+27d15m20.15s,0.02275892,2.18,0.71
2522079902019119104,12h53m23.47s,+27d30m46.99s,0.02381889,2.31,0.66
2522126631263299584,12h55m15.73s,+28d15m06.98s,0.02108984,2.42,0.67
2523236044300642304,12h56m20.38s,+28d03m02.92s,0.02536863,2.40,0.68
2522054613251680256,12h57m22.92s,+26d59m15.89s,0.02784048,1.85,0.58
2522163464902830080,12h58m44.15s,+28d02m56.26s,0.0295911,2.49,0.65
2522138176135391232,12h57m37.19s,+28d02m25.38s,0.02144919,2.25,0.63
2264203463061694464,13h02m57.32s,+28d22m32.16s,0.02951606,2.00,0.66
2262031934391609344,13h05m08.92s,+29d52m51.62s,0.02310053,2.12,0.70
2524356171503003648,13h02m31.87s,+27d56m07.92s,0.022083,2.28,0.62
2524382010026256384,13h03m35.96s,+28d10m01.08s,0.022078,2.42,0.69
2524371014909978624,13h03m12.63s,+28d10m20.99s,0.024254,2.33,0.7
2523306138166913024,13h02m00.14s,+27d46m57.76s,0.023741,1.95558,0.47449
2522132678577252352,12h55m59.75s,+27d57m18.25s,0.027008,2.14753,0.62296
2522188753670268928,13h00m10.23s,+27d51m50.21s,0.033115,2.2508,0.5864
2522034822042380288,12h59m04.63s,+26d57m29.48s,0.027001,1.97201,0.59812
2523195912126228480,12h57m19.59s,+27d36m49.62s,0.025896,2.05473,0.5679
2523289645492496384,13h01m05.65s,+28d03m43.40s,0.024795,1.95599,0.52458
2519784128149219328,12h50m22.60s,+27d10m31.27s,0.023357,2.08967,0.62066
2522092271524931584,12h51m09.22s,+27d24m24.56s,0.022814,2.14474,0.60339
2519786052294567936,12h51m37.95s,+27d18m38.28s,0.023519,2.06116,0.58271
2522027950094706688,12h57m04.81s,+26d18m09.05s,0.021823,2.01946,0.53028
2522143673693530112,12h57m17.80s,+27d48m39.31s,0.023832,2.05602,0.53666
2523247589172733952,12h57m21.74s,+27d52m49.54s,0.024809,2.15311,0.6078
2522153294420273152,12h57m27.51s,+27d38m10.51s,0.026824,2.17184,0.64001
2523179969207625728,12h58m20.27s,+26d55m14.26s,0.023054,1.91006,0.52396
2264236448410527744,12h58m56.10s,+28d27m49.06s,0.019721,1.85866,0.44165
2523169248969254912,12h59m22.10s,+26d47m49.56s,0.021511,2.01943,0.5592
2522166488559806464,12h59m24.58s,+27d31m02.41s,0.019652,1.93915,0.57462
2522023826926102528,13h00m01.18s,+26d57m21.97s,0.023916,1.99328,0.51705
2524383384415791104,13h02m35.17s,+27d26m21.98s,0.018061,2.11869,0.56689
2524391080997185536,13h04m43.33s,+28d15m05.63s,0.021903,1.9575,0.58158
2523310536213424128,13h02m14.33s,+28d06m05.74s,0.019839,2.24965,0.6058
2524382834659977216,13h03m33.69s,+28d14m21.93s,0.027408,1.94568,0.56164
2522183530990036992,12h59m51.75s,+28d05m54.69s,0.025511,2.5548,0.73142
2264187245265184768,13h06m06.44s,+28d42m06.35s,0.018547,2.0263,0.598
2264249917427968000,12h58m19.34s,+28d41m54.63s,0.019305,2.15067,0.6553
